Student_ID,Attendance,Study_Hours,Previous_Marks,Assignments,Final_Score
1,95,6,88,90,92
2,90,5,82,85,86
3,85,4,78,80,81
4,80,3,72,75,74
5,75,2,68,70,69
6,98,7,94,96,97
7,88,5,80,82,84
8,92,6,89,91,93
9,70,2,60,65,63
10,65,1,55,58,56
11,96,7,91,94,95
12,89,5,84,86,87
13,78,3,70,72,71
14,82,4,75,78,77
15,87,5,83,84,85
16,93,6,90,92,94
17,68,2,58,60,59
18,72,3,64,66,65
19,91,6,87,89,90
20,84,4,79,81,82
21,97,7,95,97,98
22,86,5,81,83,84
23,79,3,73,74,75
24,74,2,67,68,69
25,94,6,92,93,95
26,81,4,76,77,78
27,69,2,59,61,60
28,88,5,85,86,87
29,90,6,88,89,91
30,76,3,69,71,70
